dia,activos,recuperados,susceptibles
0,1.00,0.00,2175951.00
1,1.22,0.00,2175950.78
2,1.50,0.00,2175950.50
3,1.84,0.00,2175950.16
4,2.25,0.00,2175949.75
5,2.76,0.00,2175949.24
6,3.38,0.00,2175948.62
7,4.14,0.00,2175947.86
8,5.07,0.00,2175946.93
9,6.21,0.00,2175945.79
10,7.61,0.00,2175944.39
11,9.32,0.00,2175942.68
12,11.42,0.00,2175940.58
13,13.99,0.00,2175938.01
14,17.14,0.00,2175934.86
15,20.99,0.00,2175931.01
16,25.71,0.00,2175926.29
17,31.50,0.00,2175920.50
18,38.59,0.00,2175913.41
19,47.27,0.00,2175904.73
20,57.90,0.00,2175894.10
21,70.93,0.00,2175881.07
22,86.89,0.00,2175865.11
23,106.44,0.00,2175845.56
24,130.39,0.00,2175821.61
25,159.73,0.00,2175792.27
26,195.66,0.00,2175756.34
27,239.68,0.00,2175712.32
28,293.60,0.00,2175658.40
29,359.66,0.00,2175592.34
30,440.57,0.00,2175511.43
31,539.67,0.00,2175412.33
32,661.07,0.00,2175290.93
33,809.77,0.00,2175142.23
34,991.89,0.00,2174960.11
35,1214.97,0.00,2174737.03
36,1488.18,0.00,2174463.82
37,1822.80,0.00,2174129.20
38,2232.58,0.00,2173719.42
39,2734.40,0.00,2173217.60
40,3348.87,0.00,2172603.13
41,4101.20,0.00,2171850.80
42,5022.23,0.00,2170929.77
43,6149.62,0.00,2169802.38
44,7529.38,0.00,2168422.62
45,9217.63,0.00,2166734.37
46,11282.81,0.00,2164669.19
47,13808.28,0.00,2162143.72
48,16895.42,0.00,2159056.58
49,20667.38,0.00,2155284.62
50,25273.37,0.00,2150678.63
51,30893.83,0.00,2145058.17
52,37746.25,0.00,2138205.75
53,46091.83,0.00,2129860.17
54,56242.82,0.00,2119709.18
55,68570.37,0.00,2107381.63
56,83512.51,0.00,2092439.49
57,101581.65,0.00,2074370.35
58,123370.53,0.00,2052581.47
59,149555.07,0.00,2026396.93
60,180892.18,0.00,1995059.82
61,218209.37,0.00,1957742.63
62,262382.91,0.00,1913569.09
63,314300.30,0.00,1861651.70
64,374803.23,0.00,1801148.77
65,444608.17,0.00,1731343.83
66,524204.67,0.00,1651747.33
67,613736.55,0.00,1562215.45
68,712878.19,0.00,1463073.81
69,820726.86,0.00,1355225.14
70,935738.90,0.00,1240213.10
71,1055739.71,0.00,1120212.29
72,1178029.56,0.00,997922.44
73,1299588.30,0.00,876363.70
74,1417355.24,0.00,758596.76
75,1528534.27,0.00,647417.73
76,1630861.92,0.00,545090.08
77,1722783.75,0.00,453168.25
78,1803511.61,0.00,372440.39
79,1872967.48,0.00,302984.52
80,1931646.64,0.00,244305.36
81,1980443.72,0.00,195508.28
82,2020480.66,0.00,155471.34
83,2052962.32,0.00,122989.68
84,2079070.88,0.00,96881.12
85,2099898.60,0.00,76053.40
86,2116412.52,0.00,59539.48
87,2129442.34,0.00,46509.66
88,2139683.34,0.00,36268.66
89,2147707.77,0.00,28244.23
90,2153980.23,0.00,21971.77
91,2158873.96,0.00,17078.04
92,2162686.36,0.00,13265.64
93,2165652.93,0.00,10299.07
94,2167959.26,0.00,7992.74
95,2169751.02,0.00,6200.98
96,2171142.26,0.00,4809.74
97,2172222.06,0.00,3729.94
98,2173059.86,0.00,2892.14
99,2173709.73,0.00,2242.27
100,2174213.72,0.00,1738.28
101,2174604.52,0.00,1347.48
102,2174907.51,0.00,1044.49
103,2175142.41,0.00,809.59
104,2175324.50,0.00,627.50
105,2175465.65,0.00,486.35
106,2175575.05,0.00,376.95
107,2175659.85,0.00,292.15
108,2175725.58,0.00,226.42
109,2175776.52,0.00,175.48
110,2175816.00,0.00,136.00
111,2175846.60,0.00,105.40
112,2175870.31,0.00,81.69
113,2175888.69,0.00,63.31
114,2175902.93,0.00,49.07
115,2175913.97,0.00,38.03
116,2175922.53,0.00,29.47
117,2175929.16,0.00,22.84
118,2175934.30,0.00,17.70
119,2175938.28,0.00,13.72
120,2175941.37,0.00,10.63
121,2175943.76,0.00,8.24
122,2175945.61,0.00,6.39
123,2175947.05,0.00,4.95
124,2175948.16,0.00,3.84
