dia,activos,recuperados,susceptibles
0,1.00,0.00,2175951.00
1,1.17,0.05,2175950.78
2,1.34,0.15,2175950.51
3,1.53,0.27,2175950.21
4,1.73,0.41,2175949.87
5,1.94,0.58,2175949.48
6,2.17,0.79,2175949.04
7,2.43,1.02,2175948.55
8,2.70,1.29,2175948.00
9,3.00,1.60,2175947.40
10,3.33,1.95,2175946.72
11,3.68,2.35,2175945.97
12,4.06,2.80,2175945.14
13,4.47,3.30,2175944.23
14,4.92,3.85,2175943.23
15,5.41,4.47,2175942.12
16,5.94,5.16,2175940.90
17,6.51,5.93,2175939.57
18,7.13,6.77,2175938.10
19,7.80,7.70,2175936.50
20,8.54,8.72,2175934.74
21,9.33,9.85,2175932.82
22,10.19,11.09,2175930.72
23,11.12,12.45,2175928.43
24,12.14,13.94,2175925.93
25,13.23,15.57,2175923.20
26,14.43,17.36,2175920.22
27,15.72,19.31,2175916.97
28,17.12,21.44,2175913.43
29,18.64,23.77,2175909.58
30,20.29,26.32,2175905.39
31,22.08,29.09,2175900.82
32,24.03,32.12,2175895.85
33,26.13,35.42,2175890.45
34,28.42,39.01,2175884.57
35,30.90,42.93,2175878.17
36,33.59,47.19,2175871.22
37,36.51,51.83,2175863.66
38,39.67,56.88,2175855.45
39,43.11,62.37,2175846.52
40,46.83,68.34,2175836.82
41,50.88,74.84,2175826.29
42,55.26,81.90,2175814.84
43,60.02,89.58,2175802.41
44,65.18,97.92,2175788.90
45,70.77,106.99,2175774.24
46,76.84,116.84,2175758.32
47,83.43,127.54,2175741.03
48,90.57,139.17,2175722.26
49,98.32,151.79,2175701.88
50,106.73,165.51,2175679.76
51,115.85,180.40,2175655.75
52,125.74,196.57,2175629.69
53,136.48,214.13,2175601.40
54,148.12,233.19,2175570.70
55,160.74,253.88,2175537.38
56,174.44,276.34,2175501.22
57,189.30,300.73,2175461.98
58,205.42,327.19,2175419.39
59,222.90,355.92,2175373.18
60,241.86,387.09,2175323.05
61,262.43,420.93,2175268.64
62,284.74,457.64,2175209.61
63,308.95,497.49,2175145.57
64,335.20,540.72,2175076.08
65,363.67,587.64,2175000.69
66,394.55,638.55,2174918.90
67,428.04,693.78,2174830.17
68,464.37,753.71,2174733.91
69,503.78,818.74,2174629.49
70,546.51,889.29,2174516.21
71,592.86,965.82,2174393.32
72,643.12,1048.86,2174260.02
73,697.63,1138.93,2174115.44
74,756.75,1236.65,2173958.60
75,820.85,1342.66,2173788.49
76,890.37,1457.65,2173603.98
77,965.75,1582.39,2173403.87
78,1047.48,1717.69,2173186.83
79,1136.11,1864.45,2172951.44
80,1232.20,2023.63,2172696.17
81,1336.38,2196.28,2172419.34
82,1449.33,2383.53,2172119.14
83,1571.77,2586.62,2171793.62
84,1704.49,2806.86,2171440.65
85,1848.36,3045.71,2171057.93
86,2004.29,3304.73,2170642.98
87,2173.28,3585.60,2170193.12
88,2356.42,3890.16,2169705.43
89,2554.86,4220.38,2169176.75
90,2769.88,4578.42,2168603.70
91,3002.82,4966.60,2167982.58
92,3255.15,5387.42,2167309.42
93,3528.46,5843.62,2166579.92
94,3824.45,6338.12,2165789.44
95,4144.95,6874.10,2164932.95
96,4491.94,7455.00,2164005.06
97,4867.54,8084.53,2162999.93
98,5274.05,8766.70,2161911.25
99,5713.91,9505.85,2160732.25
100,6189.76,10306.63,2159455.61
101,6704.42,11174.11,2158073.47
102,7260.92,12113.70,2156577.37
103,7862.50,13131.29,2154958.21
104,8512.61,14233.17,2153206.21
105,9214.94,15426.16,2151310.90
106,9973.43,16717.56,2149261.02
107,10792.25,18115.24,2147044.52
108,11675.83,19627.64,2144648.52
109,12628.89,21263.85,2142059.25
110,13656.39,23033.60,2139262.01
111,14763.57,24947.29,2136241.14
112,15955.95,27016.10,2132979.95
113,17239.29,29251.94,2129460.77
114,18619.64,31667.56,2125664.80
115,20103.27,34276.53,2121572.20
116,21696.69,37093.31,2117162.01
117,23406.60,40133.25,2112412.15
118,25239.88,43412.67,2107299.45
119,27203.53,46948.82,2101799.65
120,29304.63,50759.93,2095887.44
121,31550.26,54865.23,2089536.51
122,33947.45,59284.92,2082719.62
123,36503.08,64040.20,2075408.72
124,39223.77,69153.20,2067575.03
125,42115.77,74646.99,2059189.24
126,45184.82,80545.50,2050221.68
127,48436.01,86873.45,2040642.54
128,51873.60,93656.27,2030422.13
129,55500.86,100919.97,2019531.17
130,59319.84,108690.99,2007941.17
131,63331.15,116996.09,1995624.76
132,67533.81,125862.05,1982556.15
133,71924.92,135315.52,1968711.56
134,76499.52,145382.73,1954069.75
135,81250.28,156089.20,1938612.51
136,86167.37,167459.41,1922325.21
137,91238.19,179516.45,1905197.36
138,96447.25,192281.60,1887223.15
139,101775.99,205774.02,1868401.99
140,107202.77,220010.20,1848739.04
141,112702.77,235003.63,1828245.60
142,118248.11,250764.31,1806939.58
143,123807.93,267298.33,1784845.74
144,129348.59,284607.47,1761995.95
145,134834.01,302688.80,1738429.19
146,140226.05,321534.36,1714191.59
147,145484.98,341130.86,1689336.16
148,150570.02,361459.49,1663922.49
149,155440.04,382495.74,1638016.22
150,160054.19,404209.38,1611688.44
151,164372.64,426564.50,1585014.85
152,168357.37,449519.68,1558074.95
153,171972.86,473028.19,1530950.95
154,175186.81,497038.39,1503726.80
155,177970.80,521494.18,1476487.02
156,180300.85,546335.51,1449315.65
157,182157.87,571499.02,1422295.11
158,183528.03,596918.75,1395505.22
159,184402.96,622526.81,1369022.23
160,184779.85,648254.19,1342917.96
161,184661.37,674031.53,1317259.10
162,184055.53,699789.83,1292106.64
163,182975.33,725461.27,1267515.40
164,181438.41,750979.83,1243533.76
165,179466.53,776281.99,1220203.47
166,177085.05,801307.26,1197559.69
167,174322.30,825998.68,1175631.02
168,171208.99,850303.27,1154439.74
169,167777.59,874172.32,1134002.09
170,164061.75,897561.63,1114328.62
171,160095.66,920431.73,1095424.61
172,155913.60,942747.85,1077290.54
173,151549.41,964480.05,1059922.53
174,147036.10,985603.06,1043312.84
175,142405.44,1006096.22,1027450.34
176,137687.74,1025943.28,1012320.97
177,132911.55,1045132.22,997908.23
178,128103.50,1063654.97,984193.52
179,123288.20,1081507.19,971156.61
180,118488.13,1098687.92,958775.94
181,113723.64,1115199.37,947028.99
182,109012.92,1131046.55,935892.53
183,104372.08,1146237.01,925342.90
184,99815.21,1160780.54,915356.24
185,95354.45,1174688.88,905908.67
186,91000.07,1187975.46,896976.47
187,86760.66,1200655.13,888536.21
188,82643.18,1212743.94,880564.87
189,78653.12,1224258.92,873039.96
190,74794.62,1235217.83,865939.55
191,71070.59,1245639.03,859242.38
192,67482.85,1255541.27,852927.88
193,64032.23,1264943.55,846976.21
194,60718.72,1273865.00,841368.28
195,57541.53,1282324.73,836085.75
196,54499.20,1290341.73,831111.06
197,51589.74,1297934.82,826427.43
198,48810.66,1305122.51,822018.83
199,46159.07,1311922.97,817869.96
200,43631.76,1318353.97,813966.28
201,41225.23,1324432.83,810293.94
202,38935.81,1330176.38,806839.81
203,36759.65,1335600.95,803591.41
204,34692.78,1340722.31,800536.91
205,32731.19,1345555.70,797665.11
206,30870.81,1350115.78,794965.41
207,29107.56,1354416.66,792427.78
208,27437.40,1358471.88,790042.72
209,25856.32,1362294.40,787801.28
210,24360.37,1365896.63,785695.00
211,22945.67,1369290.44,783715.88
212,21608.44,1372487.16,781856.40
213,20345.00,1375497.56,780109.44
214,19151.77,1378331.94,778468.29
215,18025.27,1381000.08,776926.65
216,16962.17,1383511.27,775478.56
217,15959.23,1385874.34,774118.42
218,15013.36,1388097.69,772840.95
219,14121.57,1390189.26,771641.17
220,13281.01,1392156.58,770514.41
221,12488.94,1394006.80,769456.26
222,11742.75,1395746.66,768462.59
223,11039.94,1397382.57,767529.50
224,10378.13,1398920.56,766653.31
225,9755.06,1400366.35,765830.59
226,9168.57,1401725.33,765058.10
227,8616.62,1403002.60,764332.78
228,8097.25,1404202.98,763651.77
229,7608.62,1405331.00,763012.38
230,7148.98,1406390.94,762412.08
231,6716.67,1407386.85,761848.48
232,6310.12,1408322.53,761319.36
233,5927.83,1409201.56,760822.61
234,5568.40,1410027.34,760356.26
235,5230.50,1410803.04,759918.46
236,4912.87,1411531.67,759507.45
237,4614.33,1412216.05,759121.62
238,4333.75,1412858.83,758759.42
239,4070.07,1413462.53,758419.40
240,3822.30,1414029.49,758100.21
241,3589.49,1414561.93,757800.58
242,3370.75,1415061.94,757519.31
243,3165.25,1415531.47,757255.28
244,2972.19,1415972.37,757007.44
245,2790.84,1416386.38,756774.78
246,2620.49,1416775.12,756556.39
247,2460.48,1417140.13,756351.39
248,2310.20,1417482.84,756158.96
249,2169.05,1417804.62,755978.33
250,2036.49,1418106.74,755808.77
251,1912.00,1418390.39,755649.61
252,1795.09,1418656.69,755500.22
253,1685.31,1418906.71,755359.98
254,1582.22,1419141.43,755228.35
255,1485.42,1419361.79,755104.79
256,1394.53,1419568.66,754988.81
257,1309.19,1419762.88,754879.94
258,1229.06,1419945.20,754777.75
259,1153.82,1420116.36,754681.82
260,1083.18,1420277.03,754591.78
261,1016.87,1420427.87,754507.27
262,954.60,1420569.46,754427.93
263,896.15,1420702.39,754353.46
264,841.27,1420827.17,754283.56
265,789.75,1420944.30,754217.95
266,741.39,1421054.26,754156.35
267,695.99,1421157.47,754098.54
268,653.36,1421254.37,754044.27
269,613.35,1421345.32,753993.33
270,575.79,1421430.70,753945.51
271,540.53,1421510.85,753900.62
272,507.43,1421586.09,753858.48
273,476.37,1421656.71,753818.92
274,447.20,1421723.01,753781.79
275,419.82,1421785.24,753746.94
276,394.13,1421843.66,753714.22
277,370.00,1421898.50,753683.50
278,347.36,1421949.98,753654.66
279,326.11,1421998.30,753627.59
280,306.16,1422043.66,753602.18
281,287.43,1422086.25,753578.32
