dia,activos,recuperados,susceptibles
0,1.00,0.00,2175951.00
1,1.17,0.06,2175950.78
2,1.34,0.15,2175950.51
3,1.52,0.27,2175950.21
4,1.72,0.41,2175949.87
5,1.93,0.58,2175949.48
6,2.17,0.78,2175949.05
7,2.42,1.02,2175948.56
8,2.70,1.29,2175948.01
9,3.00,1.60,2175947.41
10,3.32,1.95,2175946.73
11,3.67,2.34,2175945.99
12,4.06,2.79,2175945.16
13,4.47,3.28,2175944.25
14,4.92,3.84,2175943.24
15,5.41,4.46,2175942.13
16,5.94,5.15,2175940.92
17,6.51,5.91,2175939.58
18,7.14,6.75,2175938.11
19,7.81,7.68,2175936.51
20,8.55,8.70,2175934.75
21,9.35,9.83,2175932.83
22,10.21,11.07,2175930.72
23,11.15,12.42,2175928.43
24,12.17,13.91,2175925.92
25,13.27,15.55,2175923.18
26,14.47,17.33,2175920.19
27,15.77,19.29,2175916.94
28,17.18,21.43,2175913.39
29,18.72,23.76,2175909.52
30,20.38,26.31,2175905.31
31,22.18,29.09,2175900.73
32,24.14,32.12,2175895.73
33,26.27,35.43,2175890.30
34,28.57,39.04,2175884.39
35,31.07,42.96,2175877.97
36,33.78,47.24,2175870.97
37,36.73,51.90,2175863.37
38,39.93,56.96,2175855.11
39,43.39,62.48,2175846.13
40,47.16,68.48,2175836.36
41,51.24,75.01,2175825.75
42,55.67,82.11,2175814.23
43,60.47,89.82,2175801.70
44,65.69,98.21,2175788.10
45,71.35,107.33,2175773.32
46,77.49,117.24,2175757.26
47,84.16,128.01,2175739.83
48,91.39,139.72,2175720.90
49,99.23,152.43,2175700.34
50,107.75,166.24,2175678.01
51,116.98,181.24,2175653.77
52,127.01,197.54,2175627.46
53,137.88,215.23,2175598.88
54,149.68,234.45,2175567.86
55,162.49,255.32,2175534.19
56,176.38,277.98,2175497.64
57,191.46,302.58,2175457.96
58,207.81,329.29,2175414.89
59,225.56,358.29,2175368.15
60,244.81,389.78,2175317.41
61,265.70,423.95,2175262.34
62,288.37,461.05,2175202.58
63,312.96,501.32,2175137.72
64,339.65,545.03,2175067.33
65,368.60,592.47,2174990.94
66,400.00,643.96,2174908.04
67,434.08,699.84,2174818.08
68,471.04,760.49,2174720.47
69,511.15,826.31,2174614.54
70,554.65,897.74,2174499.61
71,601.85,975.26,2174374.89
72,653.05,1059.37,2174239.57
73,708.60,1150.65,2174092.75
74,768.84,1249.70,2173933.45
75,834.20,1357.18,2173760.62
76,905.08,1473.80,2173573.12
77,981.97,1600.33,2173369.70
78,1065.36,1737.62,2173149.02
79,1155.81,1886.57,2172909.62
80,1253.90,2048.18,2172649.92
81,1360.27,2223.50,2172368.23
82,1475.63,2413.71,2172062.67
83,1600.71,2620.05,2171731.25
84,1736.33,2843.88,2171371.79
85,1883.38,3086.69,2170981.93
86,2042.80,3350.06,2170559.14
87,2215.62,3635.73,2170100.65
88,2402.95,3945.58,2169603.47
89,2605.98,4281.63,2169064.39
90,2826.03,4646.07,2168479.90
91,3064.48,5041.30,2167846.23
92,3322.84,5469.88,2167159.29
93,3602.74,5934.59,2166414.67
